2026/07/13 03:31:24 tenderduty |  Failed to scan chainConfigDirectory open chains.d: no such file or directory
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - telegram no RPC endpoints are working for cataclysm-1
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - telegram no RPC endpoints are working for gitopia
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - telegram Severity: critical
RPC node http://gitopia.roomit.xyz:16701 has been down for > 3 minutes on gitopia
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - telegram Severity: critical
RPC node http://nibiru.roomit.xyz:16706 has been down for > 3 minutes on cataclysm-1
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - telegram no RPC endpoints are working for atomone-testnet-1
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - Gotify Severity: critical
RPC node http://nibiru.roomit.xyz:16706 has been down for > 3 minutes on cataclysm-1
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - Gotify no RPC endpoints are working for atomone-testnet-1
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - Gotify no RPC endpoints are working for cataclysm-1
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - Gotify no RPC endpoints are working for gitopia
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - Gotify Severity: critical
RPC node http://gitopia.roomit.xyz:16701 has been down for > 3 minutes on gitopia
warn:  GNO.LAND Testnet-13 has no notifications configured
2026/07/13 03:31:24 tenderduty config is valid, starting tenderduty with 4 chains
2026/07/13 03:31:24 tenderduty |  📂 restored %s alarm state - dashboard g1zyk4gkw68lzx9yfgcd.. has missed > 10% of the slashing window's blocks on test-13
2026/07/13 03:31:24 tenderduty |  starting dashboard on 8888
2026/07/13 03:31:24 tenderduty |  serving prometheus metrics at 0.0.0.0:%d/metrics 28686
2026/07/13 03:31:24 tenderduty |  ⚙️ found atonevaloper10szh6uwqx8qy0lsp3fpkvnj99tsf2nf4g9uazc (Roomit) in validator set
2026/07/13 03:31:24 tenderduty |  ⚙️ atonevaloper10szh6uw ... is using consensus key: atonevalcons135dwryacu0y5rn79vgjccrj8vrq3qsmkxckzz4
2026/07/13 03:31:24 tenderduty |  ⚙️ found doravaloper1t82jnx3cy38cmqs6este696v0al239j9lzcg5u (Roomit) in validator set
2026/07/13 03:31:24 tenderduty |  ⚙️ doravaloper1t82jnx3c ... is using consensus key: doravalcons1u75jac3awgnfs90drsw37xady5f367e894x5n5
2026/07/13 03:31:24 tenderduty |  ⚙️ atomone-testnet-1 watching for NewBlock and Vote events via http://10.35.4.199:16711
2026/07/13 03:31:24 tenderduty |  ⚙️ found empevaloper17nzylr32ldznyah54ffst2asa3qkgrmgap4j6t (Roomit) in validator set
2026/07/13 03:31:24 tenderduty |  ⚙️ empevaloper17nzylr32 ... is using consensus key: empevalcons1549nar5katvx4vhjzf3q60whjh0py4hzxdshc9
2026/07/13 03:31:24 tenderduty |  ⚙️ empe-testnet-2 watching for NewBlock and Vote events via http://10.35.4.197:16710
2026/07/13 03:31:24 tenderduty |  ⚙️ vota-testnet watching for NewBlock and Vote events via http://10.35.4.200:26657
2026/07/13 03:31:24 tenderduty |  ⚙️ consensus address resolved from active set: g1zyk4gkw68lzx9yfgcda2ur36yy6dfdtyzglvsc
2026/07/13 03:31:24 tenderduty |  ⚙️ moniker not available for g1zyk4gkw68lzx9yfgcda2ur36yy6dfdtyzglvsc (not in valopers realm)
2026/07/13 03:31:24 tenderduty |  ⚙️ found g1zyk4gkw68lzx9yfgcda2ur36yy6dfdtyzglvsc (g1zyk4gkw68lzx9yfgcd..) in active gno.land validator set
2026/07/13 03:31:24 tenderduty |  ⚙️ test-13      polling for new blocks from http://10.35.4.196:26657
2026/07/13 03:32:06 tenderduty |  🧊 vota-testnet block 13918360
2026/07/13 03:32:24 tenderduty |  🟢 AtomOne Testnet node http://10.35.4.199:16711 is healthy
